地震時避難場所,津波時避難場所,区分,番号,施設名称,所在地,緯度,経度,電話番号
地震,津波,広域避難所,1,読谷村運動広場・読谷村平和の森球場・読谷村陸上競技場,沖縄県中頭郡読谷村字座喜味2976,26.3985165809,127.743596894,982-9200
地震,津波,収容避難場所,2,渡慶次公民館・渡慶次農村公園,沖縄県中頭郡読谷村字渡慶次180,26.4207055348,127.72663484,958-4922
地震,津波,収容避難場所,3,渡慶次小学校,沖縄県中頭郡読谷村字瀬名波510,26.418736,127.728547,958-2503
地震,津波,収容避難場所,4,儀間公民館,沖縄県中頭郡読谷村字長浜1409,26.4161269295,127.729119348,958-3002
地震,津波,収容避難場所,5,読谷村北保育所,沖縄県中頭郡読谷村字長浜1647,26.415348,127.730325,958-4141
地震,津波,収容避難場所,6,瀬名波公民館,沖縄県中頭郡読谷村字瀬名波138,26.420675,127.731424188,958-2594
地震,津波,収容避難場所,7,高志保公民館・高志保公園,沖縄県中頭郡読谷村字高志保260,26.4092491891,127.733466855,958-4455
地震,津波,収容避難場所,8,読谷村立図書館,沖縄県中頭郡読谷村字波平37,26.406634728,127.733411816,958-3113
地震,津波,収容避難場所,9,読谷村立保育所,沖縄県中頭郡読谷村字高志保1406,26.407626,127.733575,958-3024
地震,津波,収容避難場所,10,波平公民館,沖縄県中頭郡読谷村字波平61,26.4058352373,127.733987391,958-2229
地震,津波,収容避難場所,11,読谷小学校,沖縄県中頭郡読谷村字高志保1277-1,26.407237,127.732464,958-2403
地震,津波,収容避難場所,12,読谷中学校,沖縄県中頭郡読谷村字座喜味2976-2,26.40396,127.736769,958-2303
地震,津波,収容避難場所,13,女性の家・読谷村生き活き健康センター,沖縄県中頭郡読谷村字都屋167-2,26.3938051128,127.726124043,956-9074
地震,津波,収容避難場所,14,読谷村立美術館・座喜味城跡公園,沖縄県中頭郡読谷村字座喜味708-4,26.4068249176,127.7424348,958-2254
地震,津波,収容避難場所,15,座喜味公民館,沖縄県中頭郡読谷村字座喜味154,26.4046412209,127.744157884,958-2228
地震,津波,収容避難場所,16,喜名公民館,沖縄県中頭郡読谷村字喜名2207,26.3990831905,127.756675114,958-2236
地震,津波,収容避難場所,17,喜名小学校,沖縄県中頭郡読谷村字喜名401,26.400294,127.757629,958-2405
地震,津波,収容避難場所,18,読谷村南保育所,沖縄県中頭郡読谷村字楚辺1030-1,26.38199,127.742519,956-4179
地震,津波,収容避難場所,19,伊良皆公民館・伊良皆公園,沖縄県中頭郡読谷村字伊良皆177-3,26.384711646,127.753891536,956-2235
地震,津波,収容避難場所,20,古堅中学校,沖縄県中頭郡読谷村字伊良皆297,26.381018,127.75263,956-2221
地震,津波,収容避難場所,21,古堅小学校,沖縄県中頭郡読谷村字楚辺999-1,26.381212,127.741464,956-2158
地震,津波,収容避難場所,22,大木公民館,沖縄県中頭郡読谷村字大木294,26.3807104753,127.746413246,956-2020
地震,津波,収容避難場所,23,牧原公民館・牧原公園,沖縄県中頭郡読谷村字比謝315-4,26.38015773,127.75147746,956-2328
地震,津波,収容避難場所,24,比謝公民館,沖縄県中頭郡読谷村字比謝26,26.3747417209,127.754241,956-2234
地震,津波,収容避難場所,25,古堅公民館・古堅第一公園,沖縄県中頭郡読谷村字古堅75-3,26.3694083526,127.750477884,956-2238
地震,津波,収容避難場所,26,古堅南小学校,沖縄県中頭郡読谷村字古堅612-1,26.370963,127.748269,956-1129
,津波,一時避難場所,27,長浜地区運動広場,沖縄県中頭郡読谷村字長浜364,26.4198761178,127.736326817,
,津波,一時避難場所,28,宇座東公園,沖縄県中頭郡読谷村字高志保1601,26.41179346,127.73519695,
,津波,一時避難場所,29,井之原公園,沖縄県中頭郡読谷村字波平424−2,26.40336669,127.73248094,
,津波,一時避難場所,30,観音堂公園,沖縄県中頭郡読谷村字喜名448,26.40043073,127.75573937,
,津波,一時避難場所,31,楚辺東公園,沖縄県中頭郡読谷村字楚辺1272-5,26.38577131,127.7369461,
,津波,一時避難場所,32,セーラの森公園,沖縄県中頭郡読谷村字座喜味1975,26.395299,127.729961,
,津波,一時避難場所,33,(有)カデナ自動車学校,沖縄県中頭郡読谷村字楚辺1512,26.385754,127.734831,956-2312
,津波,指定避難ビル,1,カサブランカスカイ,沖縄県中頭郡読谷村古堅735-5,26.36776890267085,127.74265982796396,
,津波,指定避難ビル,2,カサブランカイースト,沖縄県中頭郡読谷村古堅765-2,26.36738439696503,127.74269201447214,
,津波,避難可能ビル,,沖縄残波岬ロイヤルホテル,沖縄県中頭郡読谷村宇座1575,26.43490116447582,127.71839994430547,
,津波,避難可能ビル,,アクアグレイス・チャペル,沖縄県中頭郡読谷村宇座673,26.43353695714821,127.71774548530584,
,津波,避難可能ビル,,ホテル日航アリビラ,沖縄県中頭郡読谷村儀間600,26.415089751924555,127.71585184574133,
,津波,避難可能ビル,,モリマリゾートホテル,沖縄県中頭郡読谷村都屋45,26.39444844400484,127.72257346153265,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋51,26.393902678769294,127.7232325880691,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋77,26.392559610257255,127.72343643595423,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋87,26.39245149136123,127.72351422001566,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋85,26.392569220820864,127.72363223721231,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋108−2,26.39181719179869,127.72416331459726,
,津波,避難可能ビル,,読谷漁協,沖縄県中頭郡読谷村都屋459,26.38988063445427,127.72414722134317,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村都屋405,26.389082936376717,127.72598185230936,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村楚辺1980,26.387886378928382,127.72680260826792,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村楚辺1922,26.385118391295777,127.72767164398874,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知438−2,26.370700716616405,127.73654975582804,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知438,26.37069110423316,127.73628689934458,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知412,26.371094823640014,127.73817517449106,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知171−1,26.366624994438357,127.7418390720054,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知126,26.36498601375415,127.74160840203012,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅944,26.371224590292748,127.74473317553247,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅733−4,26.366817248714234,127.7435127704307,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅736,26.366879731285053,127.74420478035654,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅735−3,26.36705275976641,127.74431206871714,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村渡具知62−1,26.365783878221684,127.74337329556192,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅704−2,26.365634879853765,127.74458565403665,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅647−3,26.36873016133929,127.74695672680582,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅595,26.36798518656827,127.74753608395304,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅593,26.36810053781473,127.74802961041178,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅559−1,26.368629229554738,127.74861433197702,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅607,26.369162725131897,127.74868406941141,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅500,26.366399095255602,127.74798133064951,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村古堅14,26.37055172458667,127.75310434986795,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村大湾468,26.37088335174568,127.75477804829325,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村大湾473,26.370866530101093,127.75527693917002,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村比謝矼65,26.370503662600623,127.75573559691156,
,津波,避難可能ビル,,,沖縄県中頭郡読谷村比謝矼73−3,26.370169631245396,127.75581606318201,
